OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,,Dog,Neutered Male,1 year,Australian Kelpie Mix,Black/Tan
Adoption,,Dog,Spayed Female,3 years,Finnish Spitz/Dachshund,Red
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown/White
Transfer,Partner,Dog,Intact Male,2 weeks,Labrador Retriever Mix,Brown
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,4 years,Catahoula Mix,Yellow Brindle/White
Adoption,,Dog,Neutered Male,2 years,Black Mouth Cur Mix,Tan
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,White/Brown Tabby
Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby
Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,2 years,Black Mouth Cur,Tan
Transfer,SCRP,Cat,Intact Male,4 months,Domestic Medium Hair Mix,Brown Tabby
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
Return_to_owner,,Cat,Neutered Male,2 years,Domestic Longhair Mix,Brown Tabby/White
Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black
Died,In Kennel,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Intact Male,1 year,Basset Hound Mix,Black/Tan
Return_to_owner,,Dog,Intact Male,7 years,German Shorthair Pointer Mix,Black/White
Euthanasia,Behavior,Dog,Intact Male,2 years,Feist Mix,Black
Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair,Brown/White
Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,10 years,Jack Russell Terrier Mix,White/Black
Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Brown/White
Transfer,Partner,Dog,Spayed Female,2 months,Labrador Retriever/American Pit Bull Terrier,Black/White
Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
Adoption,,Cat,Neutered Male,2 months,Siamese Mix,Flame Point
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
Return_to_owner,,Dog,Neutered Male,5 years,English Bulldog Mix,Brown Brindle/White
Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Cat,Spayed Female,3 years,Snowshoe Mix,Chocolate Point
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White/Brown Tabby
Transfer,Partner,Dog,Neutered Male,3 years,Shih Tzu Mix,White/White
Euthanasia,Suffering,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Neutered Male,12 years,Cocker Spaniel,Buff/White
Transfer,Partner,Dog,Spayed Female,8 years,Labrador Retriever Mix,Buff
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever,White
Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull,Black/White
Return_to_owner,,Dog,Neutered Male,7 years,Carolina Dog Mix,Buff
Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
Adoption,,Dog,Neutered Male,1 year,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Female,2 months,Catahoula Mix,Tan/White
Transfer,Partner,Cat,Intact Female,1 month,Siamese Mix,Lynx Point
Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Red/White
Adoption,Foster,Dog,Spayed Female,1 year,English Pointer Mix,Red/White
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
Adoption,,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Tan
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Intact Female,5 days,Pit Bull Mix,Sable/White
Transfer,Partner,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,7 years,Great Pyrenees Mix,Brown/Black
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Spayed Female,6 years,Collie Rough/Pembroke Welsh Corgi,Tan/Buff
Euthanasia,Suffering,Cat,Unknown,5 years,Domestic Medium Hair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Tan
Transfer,Partner,Dog,Intact Male,10 months,Labrador Retriever/Pointer,White/Black
Transfer,Partner,Dog,Spayed Female,3 months,Chihuahua Shorthair/Cocker Spaniel,Tan/White
Adoption,,Cat,Neutered Male,9 years,Domestic Shorthair Mix,White/Orange Tabby
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
Adoption,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Black
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Neutered Male,13 years,Chihuahua Shorthair,Tan/White
Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
Adoption,,Cat,Spayed Female,8 years,Siamese Mix,Flame Point
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,9 months,Black Mouth Cur Mix,Tricolor
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
Return_to_owner,,Dog,Neutered Male,2 years,Doberman Pinsch Mix,Black/Tan
Return_to_owner,,Dog,Intact Male,13 years,American Eskimo Mix,White/Tan
Adoption,,Dog,Neutered Male,4 years,Rat Terrier Mix,Black/White
Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Cream
Euthanasia,Suffering,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue/White
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby
Transfer,Partner,Dog,Spayed Female,3 years,Shih Tzu,Black/White
Transfer,Partner,Dog,Neutered Male,2 years,Catahoula Mix,Black/Brown
Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Sable
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Neutered Male,3 years,Miniature Poodle Mix,White/Pink
Transfer,Partner,Dog,Intact Female,4 months,Pit Bull Mix,Brown Brindle/White
Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico/Brown
Adoption,,Dog,Neutered Male,5 months,Chihuahua Shorthair Mix,Brown
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Neutered Male,1 year,American Bulldog Mix,White/Tan
Adoption,,Dog,Neutered Male,1 year,Dachshund Mix,Black
Transfer,Partner,Cat,Unknown,6 days,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Dog,Neutered Male,1 year,Great Pyrenees/Pointer,White/Orange
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/Brown
Adoption,Foster,Dog,Neutered Male,6 months,Australian Cattle Dog Mix,Blue Tick
Transfer,Partner,Dog,Intact Female,1 week,Labrador Retriever Mix,Cream
Transfer,Partner,Cat,Unknown,1 week,Domestic Medium Hair Mix,White
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
Adoption,,Cat,Neutered Male,6 months,Domestic Longhair Mix,Brown Tabby/White
Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull/German Shepherd,Fawn
Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
Return_to_owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,1 year,Australian Shepherd Mix,White/Tan
Adoption,,Dog,Neutered Male,2 years,Yorkshire Terrier/Cairn Terrier,Black/Brown
Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Intact Male,5 days,Pit Bull Mix,Sable
Transfer,Partner,Dog,Intact Female,1 week,Pit Bull Mix,Brown/White
Euthanasia,Rabies Risk,Dog,Neutered Male,3 years,Chow Chow Mix,Red/Black
Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Sable/Cream
Return_to_owner,,Cat,Neutered Male,3 years,Domestic Longhair Mix,Cream Tabby/White
Adoption,,Dog,Neutered Male,2 years,Dachshund Mix,Tan/Black
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Intact Male,9 months,American Pit Bull Terrier Mix,Black Brindle/White
Adoption,,Dog,Spayed Female,4 years,Australian Cattle Dog Mix,Tan/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
Transfer,Partner,Dog,Intact Male,4 months,Chihuahua Shorthair Mix,Tricolor
Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black/White
Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue
Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Lynx Point
Transfer,SCRP,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Orange Tabby
Adoption,,Dog,Spayed Female,7 years,Pointer Mix,White/Brown
Return_to_owner,,Dog,Neutered Male,6 years,Border Collie,Black/White
Transfer,Partner,Dog,Intact Male,1 month,Anatol Shepherd Mix,White/Brown
Euthanasia,Suffering,Dog,Intact Female,1 year,Cairn Terrier Mix,Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Cream Tabby
Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue
Transfer,Partner,Dog,Spayed Female,2 months,Cairn Terrier Mix,Brown
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,2 years,Miniature Pinscher/Chihuahua Shorthair,Black/Tan
Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Spayed Female,5 years,Beagle Mix,White/Brown
Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie
Adoption,,Dog,Neutered Male,1 year,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan
Return_to_owner,,Dog,Intact Male,3 years,Beagle Mix,Red/White
Transfer,Partner,Dog,Neutered Male,2 years,Shih Tzu Mix,White/Brown
Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Mix,Black/White
Adoption,,Dog,Spayed Female,3 years,Australian Shepherd/Parson Russell Terrier,Tricolor
Adoption,Foster,Dog,Spayed Female,8 years,Toy Poodle,White
Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black
Euthanasia,Suffering,Dog,Neutered Male,2 years,American Bulldog Mix,White/Red
Transfer,Partner,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,5 years,Dachshund Mix,Black
Return_to_owner,,Dog,Spayed Female,4 years,Pit Bull/Chow Chow,Tan/White
Adoption,,Dog,Spayed Female,5 years,German Shepherd Mix,Sable
Adoption,,Dog,Spayed Female,10 months,Boston Terrier Mix,Tan/Black
Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,1 year,Queensland Heeler,Red/White
Return_to_owner,,Dog,Intact Male,11 years,German Shepherd Mix,Black/Tan
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Neutered Male,9 months,German Shepherd Mix,Tan/Brown
Transfer,Partner,Dog,Intact Female,2 days,Pit Bull Mix,Chocolate/White
Adoption,,Cat,Neutered Male,3 years,Siamese Mix,Seal Point
Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Spayed Female,2 months,Siamese,Seal Point
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Cream Tabby
Adoption,,Dog,Spayed Female,10 months,Pit Bull Mix,Blue/White
Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Suffering,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Red
Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black/White
Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
Return_to_owner,,Dog,Intact Male,6 months,Bull Terrier Mix,White
Adoption,Foster,Dog,Neutered Male,9 months,Chinese Sharpei/Labrador Retriever,Tan
Transfer,Partner,Dog,Intact Female,10 years,Border Collie Mix,Black
Adoption,,Dog,Neutered Male,4 years,American Staffordshire Terrier Mix,Black/White
Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Male,6 months,Labrador Retriever Mix,Black/White
Return_to_owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,18 years,Chihuahua Shorthair Mix,Yellow
Return_to_owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Yellow
Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,White/Orange Tabby
Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown
Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,1 year,English Bulldog/Boxer,Brown/White
Adoption,,Dog,Neutered Male,8 years,Labrador Retriever/Australian Cattle Dog,Red
Adoption,,Dog,Neutered Male,3 years,Mastiff Mix,Sable
Transfer,Partner,Cat,Neutered Male,3 years,Snowshoe Mix,Seal Point
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
Adoption,,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Spayed Female,2 years,Australian Kelpie/Pit Bull,Red/White
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Neutered Male,5 months,Labrador Retriever Mix,Chocolate/White
Euthanasia,Aggressive,Dog,Intact Male,9 years,Pit Bull,Blue/White
Transfer,Partner,Dog,Neutered Male,3 years,Border Collie Mix,Black/White
Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Black
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Aggressive,Dog,Intact Male,3 years,Labrador Retriever Mix,White/Brown
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/Australian Cattle Dog,Tan/White
Euthanasia,Aggressive,Dog,Intact Male,4 years,Pit Bull Mix,Blue/White
Transfer,SCRP,Cat,Unknown,6 months,Russian Blue Mix,Blue
Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog,Blue Merle
Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White
Euthanasia,Suffering,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/Black
Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
Adoption,Foster,Dog,Spayed Female,9 years,Keeshond Mix,Brown/Black
Adoption,,Dog,Spayed Female,8 years,Dachshund Wirehair Mix,Sable/White
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 years,Great Pyrenees Mix,White
Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
Adoption,,Dog,Neutered Male,1 year,German Shepherd/Australian Cattle Dog,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Intact Female,1 year,Boxer/Pit Bull,Chocolate/White
Adoption,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Tortie/Orange
Return_to_owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Brown
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
Transfer,Partner,Dog,Intact Female,1 month,Border Collie Mix,Black/White
Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Intact Female,2 years,American Staffordshire Terrier Mix,Brown Brindle/White
Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Tricolor
Transfer,Partner,Dog,Intact Male,3 months,American Pit Bull Terrier Mix,Brown Brindle/White
Transfer,Partner,Dog,Neutered Male,9 months,Redbone Hound Mix,Red/White
Transfer,Partner,Dog,Spayed Female,8 years,Border Collie/Labrador Retriever,Black/White
Adoption,,Dog,Neutered Male,2 years,Alaskan Malamute Mix,Black/Tan
Died,,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,1 year,Cairn Terrier Mix,Tan
Adoption,,Dog,Neutered Male,8 months,Great Dane/Australian Cattle Dog,Black/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,8 months,Australian Cattle Dog Mix,Brown Merle/White
Transfer,Partner,Dog,Intact Male,3 days,Labrador Retriever Mix,Black
Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Intact Female,2 years,Dachshund Wirehair/Chihuahua Longhair,Tan
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Neutered Male,1 year,Dachshund Mix,Sable/Tan
Adoption,,Dog,Neutered Male,6 years,Siberian Husky Mix,White/Tan
Adoption,,Dog,Neutered Male,4 months,Dachshund Mix,Brown
Euthanasia,Behavior,Dog,Neutered Male,3 years,Boxer Mix,Brown Brindle/White
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Tricolor
Return_to_owner,,Dog,Spayed Female,8 years,English Springer Spaniel,White/Liver
Return_to_owner,,Dog,Intact Male,10 years,American Staffordshire Terrier Mix,Brown Brindle
Adoption,,Dog,Neutered Male,8 years,Smooth Fox Terrier Mix,Tricolor
Euthanasia,Suffering,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Torbie
Transfer,Partner,Cat,Intact Male,1 week,Domestic Medium Hair Mix,Brown Tabby
Transfer,Partner,Dog,Spayed Female,3 months,Border Collie/Labrador Retriever,Black/White
Adoption,,Dog,Spayed Female,3 months,Dachshund Longhair/Miniature Schnauzer,Silver/White
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
Euthanasia,Suffering,Dog,Intact Male,5 years,Australian Shepherd/Australian Cattle Dog,Brown/Tan
Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,Blue/White
Adoption,Offsite,Dog,Neutered Male,10 months,Shetland Sheepdog/Dachshund Longhair,Brown/White
Adoption,,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black
Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Chocolate/White
Adoption,,Cat,Intact Male,2 months,Siamese Mix,Lynx Point/White
Transfer,Partner,Dog,Intact Female,1 year,Pomeranian,Red
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,6 years,Pit Bull Mix,White/Brown
Euthanasia,Rabies Risk,Dog,Neutered Male,5 years,Pit Bull/Labrador Retriever,Black/White
Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
